0,0,0,0,0,0.382037977,0.176339991,0.045260321,0.39636171,0
0,0,0,0,0,0.003348458,0.271361798,0.060408922,0.664880822,0
0,0,0,0,0,0.012116578,0.18863635,0.184779927,0.614467144,0
0,0,0,0,0,0.044063427,0.104577201,0.111195708,0.740163664,0
0,0,0,0,0,0,0,0,0,1.6
0.382037977,0.003348458,0.012116578,0.044063427,0,0,0,0,0,0
0.176339991,0.271361798,0.18863635,0.104577201,0,0,0,0,0,0
0.045260321,0.060408922,0.184779927,0.111195708,0,0,0,0,0,0
0.39636171,0.664880822,0.614467144,0.740163664,0,0,0,0,0,0
0,0,0,0,1.6,0,0,0,0,0
