0,0,0,0,0,0.297578601,0.209447135,0.051680737,0.441293528,0
0,0,0,0,0,0.003137185,0.283989901,0.062071438,0.650801476,0
0,0,0,0,0,0.009003394,0.21837441,0.184298156,0.58832404,0
0,0,0,0,0,0.043460417,0.116537731,0.08650913,0.753492723,0
0,0,0,0,0,0,0,0,0,1.6
0.297578601,0.003137185,0.009003394,0.043460417,0,0,0,0,0,0
0.209447135,0.283989901,0.21837441,0.116537731,0,0,0,0,0,0
0.051680737,0.062071438,0.184298156,0.08650913,0,0,0,0,0,0
0.441293528,0.650801476,0.58832404,0.753492723,0,0,0,0,0,0
0,0,0,0,1.6,0,0,0,0,0
