Country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Qatar,0.557,0.559,0.563,0.579,0.61,0.623,0.594,0.645,0.502,0.527,0.584,0.705,0.886,0.966,1.017,1.083,1.148,1.271,1.462,1.656,1.641
Reunion,0.032,0.033,0.032,0.034,0.034,0.043,0.043,0.044,0.046,0.046,0.046,0.046,0.047,0.048,0.049,0.049,0.048,0.048,0.048,0.049,0.047
Romania,1.955,1.877,2.021,2.052,2.029,1.737,1.591,1.585,1.712,1.679,1.62,1.683,1.659,1.666,1.654,1.662,1.401,1.405,1.423,1.419,1.383
Russian Federation,31.862,29.276,27.816,26.004,24.425,24.29,25.376,26.167,25.853,26.719,27.463,28.221,27.949,29.083,29.119,29.586,26.465,30.254,30.66,31.851,30.517
Rwanda,0.011,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.013,0.012,0.012,0.012,0.011,0.012,0.012,0.012,0.012,0.013,0.013
Saint Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004
Saint Lucia,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.006
Saint Pierre and Miquelon,0.002,0.002,0.001,0.001,0,0,0,0.001,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Saint Vincent/Grenadines,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
Samoa,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
Sao Tome and Principe,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
Saudi Arabia,3.776,3.9,3.826,4.104,4.366,4.543,4.602,4.853,5.139,5.384,5.761,6.208,6.526,6.846,6.896,7.414,7.673,8.32,8.859,9.661,9.65
Senegal,0.042,0.051,0.055,0.056,0.051,0.054,0.06,0.064,0.064,0.067,0.068,0.078,0.084,0.086,0.089,0.091,0.086,0.092,0.096,0.094,0.102
Serbia,--,--,--,--,--,--,--,--,--,--,--,--,--,0.708,0.716,0.715,0.689,0.702,0.844,0.809,0.821
Seychelles,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.012,0.012,0.012,0.012,0.016,0.013,0.015,0.016,0.014,0.014,0.014,0.017
Sierra Leone,0.011,0.011,0.012,0.012,0.012,0.012,0.012,0.013,0.014,0.014,0.014,0.017,0.007,0.01,0.008,0.009,0.009,0.01,0.01,0.01,0.011
Singapore,1.088,1.172,1.19,1.357,1.456,1.504,1.49,1.527,1.621,1.602,1.692,1.903,2.161,2.372,2.556,2.559,2.576,2.867,3.03,3.091,3.178
Slovakia,0.776,0.743,0.802,0.784,0.772,0.771,0.767,0.783,0.826,0.832,0.809,0.795,0.817,0.806,0.781,0.795,0.718,0.761,0.745,0.701,0.718
Slovenia,0.238,0.247,0.278,0.307,0.286,0.285,0.29,0.287,0.298,0.3,0.298,0.313,0.315,0.317,0.314,0.339,0.307,0.311,0.293,0.286,0.276
Solomon Islands,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
Somalia,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.01,0.01,0.01,0.01,0.01,0.013,0.014,0.012,0.012,0.011,0.012,0.012,0.012,0.012
South Africa,3.874,4.096,4.169,4.163,4.463,4.265,4.627,4.545,4.599,4.281,4.744,5.178,5.078,5.269,5.445,5.879,5.48,5.586,5.833,6.075,5.767
South Korea,5.447,5.866,6.365,6.681,7.355,6.724,7.515,8.017,8.258,8.514,8.744,8.964,9.266,9.402,9.778,9.951,10.05,10.954,11.209,11.283,11.349
Spain,4.022,4.177,4.302,4.399,4.699,4.93,5.171,5.498,5.758,5.834,6.142,6.364,6.533,6.581,6.758,6.535,6.121,6.237,6.068,5.994,5.659
Sri Lanka,0.126,0.136,0.147,0.146,0.161,0.168,0.18,0.189,0.186,0.188,0.2,0.199,0.22,0.216,0.225,0.218,0.211,0.244,0.269,0.278,0.306
Sudan,0.084,0.076,0.071,0.072,0.073,0.074,0.08,0.108,0.136,0.14,0.154,0.165,0.177,0.197,0.224,0.236,0.239,0.294,0.287,0.279,0.29
Suriname,0.035,0.035,0.034,0.034,0.034,0.034,0.035,0.029,0.031,0.032,0.033,0.034,0.035,0.036,0.036,0.036,0.037,0.044,0.043,0.042,0.042
Swaziland,0.012,0.016,0.016,0.015,0.017,0.017,0.017,0.016,0.017,0.017,0.015,0.015,0.014,0.016,0.018,0.019,0.018,0.018,0.018,0.018,0.014
Sweden,2.236,2.257,2.304,2.262,2.314,2.39,2.35,2.256,2.394,2.256,2.143,2.311,2.328,2.207,2.242,2.181,2.055,2.176,2.141,2.217,2.116
Switzerland,1.225,1.245,1.239,1.216,1.235,1.266,1.325,1.296,1.35,1.284,1.298,1.292,1.262,1.285,1.283,1.307,1.275,1.306,1.227,1.273,1.312
Syria,0.595,0.634,0.609,0.652,0.695,0.752,0.774,0.782,0.762,0.82,0.827,0.845,0.805,0.808,0.848,0.977,0.986,1.015,0.937,0.736,0.88
Taiwan,2.416,2.579,2.841,3.045,3.187,3.408,3.562,3.832,3.898,4.109,4.261,4.398,4.425,4.548,4.819,4.641,4.555,4.914,4.732,4.628,4.709
Tajikistan,0.26,0.254,0.209,0.23,0.219,0.226,0.242,0.239,0.247,0.252,0.269,0.274,0.284,0.28,0.272,0.209,0.188,0.194,0.191,0.198,0.207
Tanzania,0.055,0.049,0.049,0.052,0.048,0.055,0.058,0.058,0.069,0.075,0.076,0.082,0.089,0.092,0.108,0.116,0.121,0.121,0.121,0.128,0.163
Thailand,1.675,1.867,2.115,2.443,2.592,2.435,2.493,2.562,2.685,2.931,3.202,3.441,3.76,3.897,4.036,4.09,4.254,4.481,4.618,4.828,4.751
Timor-Leste (East Timor),--,--,--,--,--,--,--,--,--,--,0.002,0.002,0.002,0.003,0.005,0.003,0.003,0.003,0.003,0.003,0.004
Togo,0.011,0.011,0.012,0.012,0.011,0.012,0.017,0.022,0.016,0.021,0.032,0.034,0.034,0.035,0.038,0.022,0.022,0.036,0.033,0.031,0.029
Tonga,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003
Trinidad and Tobago,0.272,0.311,0.325,0.359,0.389,0.387,0.399,0.421,0.474,0.5,0.539,0.59,0.673,0.821,0.824,0.898,0.85,0.944,0.932,0.828,0.842
Tunisia,0.218,0.237,0.212,0.231,0.268,0.287,0.289,0.301,0.336,0.338,0.331,0.334,0.358,0.333,0.294,0.307,0.3,0.309,0.297,0.325,0.35
Turkey,2.326,2.229,2.489,2.742,2.919,2.988,2.9,3.155,2.887,3.139,3.306,3.507,3.727,4.067,4.346,4.241,4.241,4.483,5.25,5.401,5.224
Turkmenistan,0.283,0.274,0.298,0.298,0.305,0.288,0.318,0.401,0.502,0.585,0.759,0.807,0.832,0.841,0.9,0.969,0.89,0.992,0.984,1.133,1.149
Turks and Caicos Islands,,,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.002,0.003,0.003,0.003,0.002
Tuvalu,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.004,0.005,0.004,0.004,0.004
U.S. Territories,,,,,,,,,,,,,,,,,,,,,
Uganda,0.024,0.024,0.025,0.025,0.027,0.029,0.029,0.033,0.035,0.036,0.039,0.041,0.042,0.039,0.043,0.067,0.059,0.062,0.059,0.069,0.065
Ukraine,8.379,7.13,7.011,6.353,6.057,5.856,5.763,5.774,5.663,5.82,6.312,6.272,6.243,5.72,6.13,6.213,4.597,5.138,5.691,5.245,5.007
United Arab Emirates,1.51,1.492,1.607,1.669,1.771,1.838,1.865,1.866,1.892,2.06,2.109,2.224,2.586,2.73,3.06,3.453,3.442,3.578,3.747,3.92,4.004
United Kingdom,9.579,9.577,9.534,10.06,9.788,9.754,9.796,9.734,9.884,9.749,9.784,9.843,9.809,9.699,9.36,9.232,8.728,8.937,8.436,8.484,8.438
United States,87.366,89.088,91.032,94.022,94.602,95.019,96.65,98.819,96.172,97.647,97.921,100.094,100.193,99.492,101.027,98.906,94.138,97.48,96.902,94.487,97.241
Uruguay,0.14,0.138,0.125,0.129,0.142,0.178,0.16,0.164,0.162,0.168,0.162,0.141,0.157,0.149,0.178,0.184,0.19,0.208,0.203,0.204,0.19
Uzbekistan,1.721,1.757,1.863,1.88,1.876,1.845,1.864,1.956,2.046,2.097,2.128,2.253,2.162,2.228,2.228,2.234,1.998,1.97,2.143,2.194,2.039
Vanuatu,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.002,0.002,0.002,0.002
Venezuela,2.291,2.437,2.47,2.572,2.662,2.863,2.647,2.77,3.031,2.935,2.715,2.93,3.005,3.245,2.93,3.14,3.1,3.014,3.384,3.267,3.357
Viet Nam,0.372,0.414,0.497,0.591,0.583,0.611,0.683,0.736,0.813,0.902,0.976,1.085,1.251,1.321,1.466,1.63,1.825,2.025,2.17,2.382,2.335
"Virgin Islands,  U.S.",0.12,0.123,0.122,0.121,0.123,0.128,0.306,0.139,0.192,0.191,0.225,0.235,0.225,0.239,0.223,0.187,0.223,0.213,0.231,0.233,0.237
"Virgin Islands, British",0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002
Wake Island,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.019,0.019,0.019,0.019,0.019,0.018
Western Sahara,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
Yemen,0.142,0.138,0.15,0.153,0.159,0.171,0.179,0.194,0.206,0.226,0.244,0.246,0.257,0.28,0.255,0.312,0.289,0.362,0.307,0.289,0.326
Zambia,0.106,0.101,0.102,0.096,0.104,0.102,0.099,0.099,0.105,0.108,0.112,0.115,0.121,0.125,0.125,0.119,0.12,0.126,0.142,0.156,0.168
Zimbabwe,0.214,0.197,0.197,0.203,0.2,0.204,0.235,0.225,0.214,0.21,0.201,0.175,0.192,0.195,0.183,0.16,0.157,0.166,0.165,0.171,0.177
